Date Purchased,Product Code,Product Description,Qty,Vendor Name,Price Each,Grand Total
15/01/2023,ITM001,M8 Screws - Stainless Steel,1500,FastenRight Industries,9.00,13500
18-Jan-2023,ITM002,Steel Plates 10mm,400,MetalWorks Ltd,465.00,186000
2023/01/25,ITM003,Hydraulic Oil Type A,900,FluidTech Solutions,88.00,79200
08/02/2023,ITM001,M8 Screws - Stainless Steel,1600,BoltMart Supplies,8.80,14080
15-Feb-2023,ITM004,Bearing Units Premium,280,PrecisionParts Inc,335.00,93800
2023/02/22,ITM005,Rubber Gaskets Industrial,4200,SealTech Industries,13.00,54600
05/03/2023,ITM001,M8 Screws - Stainless Steel,1700,FastenRight Industries,8.90,15130
12-Mar-2023,ITM006,Copper Wire 2.5mm,700,ElectroSupply Co,130.00,91000
2023/03/20,ITM002,Steel Plates 10mm,420,MetalWorks Ltd,460.00,193200
28/03/2023,ITM003,Hydraulic Oil Type A,950,FluidTech Solutions,87.00,82650
05-Apr-2023,ITM001,M8 Screws - Stainless Steel,1750,BoltMart Supplies,8.60,15050
2023/04/12,ITM007,Paint Industrial Grade,500,CoatingPro Ltd,225.00,112500
20/04/2023,ITM004,Bearing Units Premium,290,PrecisionParts Inc,330.00,95700
28-Apr-2023,ITM005,Rubber Gaskets Industrial,4300,SealTech Industries,12.90,55470
2023/05/05,ITM001,M8 Screws - Stainless Steel,1800,FastenRight Industries,8.70,15660
15/05/2023,ITM008,Aluminum Sheets,350,MetalWorks Ltd,395.00,138250
22-May-2023,ITM009,Electric Motors 2HP,120,PowerDrive Systems,1900.00,228000
2023/05/30,ITM002,Steel Plates 10mm,430,MetalWorks Ltd,455.00,196650
08/06/2023,ITM001,M8 Screws - Stainless Steel,1850,BoltMart Supplies,8.50,15725
15-Jun-2023,ITM003,Hydraulic Oil Type A,1000,FluidTech Solutions,86.00,86000
2023/06/22,ITM010,Safety Gloves Premium,1800,SafetyFirst Supplies,47.00,84600
30/06/2023,ITM006,Copper Wire 2.5mm,720,ElectroSupply Co,129.00,92880
05-Jul-2023,ITM001,M8 Screws - Stainless Steel,1900,FastenRight Industries,8.60,16340
2023/07/12,ITM004,Bearing Units Premium,300,PrecisionParts Inc,325.00,97500
20/07/2023,ITM007,Paint Industrial Grade,520,CoatingPro Ltd,222.00,115440
28-Jul-2023,ITM005,Rubber Gaskets Industrial,4400,SealTech Industries,12.80,56320
2023/08/05,ITM001,M8 Screws - Stainless Steel,1950,BoltMart Supplies,8.40,16380
12/08/2023,ITM008,Aluminum Sheets,370,MetalWorks Ltd,390.00,144300
20-Aug-2023,ITM002,Steel Plates 10mm,450,MetalWorks Ltd,452.00,203400
2023/08/28,ITM009,Electric Motors 2HP,140,PowerDrive Systems,1875.00,262500
05/09/2023,ITM001,M8 Screws - Stainless Steel,2000,FastenRight Industries,8.55,17100
12-Sep-2023,ITM003,Hydraulic Oil Type A,1050,FluidTech Solutions,85.50,89775
2023/09/20,ITM010,Safety Gloves Premium,1900,SafetyFirst Supplies,46.00,87400
28/09/2023,ITM006,Copper Wire 2.5mm,740,ElectroSupply Co,127.00,93980
05-Oct-2023,ITM001,M8 Screws - Stainless Steel,2400,BoltMart Supplies,8.20,19680
2023/10/12,ITM004,Bearing Units Premium,330,PrecisionParts Inc,322.00,106260
20/10/2023,ITM007,Paint Industrial Grade,580,CoatingPro Ltd,220.00,127600
28-Oct-2023,ITM005,Rubber Gaskets Industrial,5000,SealTech Industries,12.75,63750
2023/11/05,ITM001,M8 Screws - Stainless Steel,2500,FastenRight Industries,8.50,21250
12/11/2023,ITM008,Aluminum Sheets,410,MetalWorks Ltd,385.00,157850
20-Nov-2023,ITM002,Steel Plates 10mm,480,MetalWorks Ltd,448.00,215040
2023/11/28,ITM009,Electric Motors 2HP,155,PowerDrive Systems,1860.00,288300